	3989	4069	4072	4261	4266	4267	4604	4606	4607	4613	4833	4836	4841	4845	4847	4951	4953	4955	4957	4958	4959	4962	4967	4969	4970	4971	4975	4976	4977	4981	4982	4983	4985	5928	5930	5932	5934	5936	5937	5942	5945	5946	5947	5948	5950	5956	5959	5960	5961	5964	6016	6041	6042	6043	6046	6406	6409	6411	6413	6417	6418	6422	6466	6684	6719	6720	6721	6722	6727	6728	6729	6730	6731	6732	6733	7199	7201	7206	7211	7214	7215	7217	7218	7219	7220	7221	7238	7240	7248	7249	7250	7316	7321	7426	7428	8609	8611	8612	8614	8615	8618	8620	8622	8623	8652	8660	8828	8830	8832	8965	8977	8978	8979	8980	8981	8982	8984	9000	9001	9002	9004	9063	9064	9065	9067	9464	9539	9541	9544	9567	9568	9569	9570	9571	9572	9573	9574	9575	9578	9579	9582	9584	9585	9589	9592	9593	9597	9599	9606	9754	9755	9759	9761	9842	9844	9845	9847	10010	10011	10014	11326	11327	11336	11337	11338	11339	11340	11341	11342	11352	11355	11357	11359	11360	11361	11364	11365	11366	11367	11368	11369	11370	11372	11374	11375	11380	11381	11383	11384	11385	11386	11389	11391	11393	11394	11396	11397	11399	11402	11743	11744	11745	11750	11751	11756	11760	11762	11818	11819	13296	13297	13298	13299	13302	13304	13306	13307	13310	13311	13312	13416	13418	13419	13420	13422	13424	13426	13427	13428	13619	13622	13623	13625	13626	13629	13631	13752	13754	13755	13761	13766	13768	13770	13771	14432	14435	14437	14439	14441	14442	14460	14461	18017	18020	18022	18024	18031	18037	18259	18730	18734	18748	18749	18751	18754	18775
8C	22	8	21	4	0	10	300	9	26	7	46	22	104	53	304	71	213	254	101	311	135	74	6	4	2	61	164	78	137	2	5	6	13	264	43	150	329	39	301	55	183	26	16	135	7	205	9	97	14	12	13	2	187	324	29	41	39	113	44	8	9	15	3	84	97	2	12	45	48	30	16	239	45	17	42	2	16	124	119	8	15	216	2	14	5	8	2	12	199	8	19	68	69	149	319	28	81	10	4	22	17	1	32	38	307	389	11	177	77	21	61	218	35	572	1	8	74	266	5	81	317	13	352	9	4	48	27	34	0	29	485	16	2	51	68	3	5	52	0	4	10	17	283	1	110	4	5	17	0	10	5	13	10	35	2	0	26	16	13	374	91	220	62	57	8	5	5	5	11	6	8	11	37	23	8	16	17	25	181	121	86	2	17	11	19	19	10	17	2	14	12	7	14	9	5	8	84	30	3	51	1	22	27	185	11	16	8	27	15	135	5	150	70	63	0	8	10	3	56	27	12	21	5	12	9	59	1	2	17	28	30	17	297	14	2	30	2	15	5	2	9	3	7	253	5	43	64	2	88	16	4	14	6	176	11	81	27	57	173	3	38	18	10	10	14	12
8D	277	115	186	12	0	326	3093	50	0	88	0	398	2035	2044	2222	783	986	2537	1081	3635	2034	1949	223	97	110	848	0	201	630	458	64	0	17	2484	0	0	596	179	1153	0	849	236	346	0	176	2523	67	1336	185	592	60	9	2039	5585	647	0	1483	0	742	0	114	846	16	0	466	18	303	469	0	200	0	0	1775	0	75	167	0	1327	1347	13	1891	0	78	58	0	87	88	0	0	1035	0	0	0	0	0	207	0	609	89	0	0	67	11	15	0	0	0	0	700	894	230	0	121	5284	472	0	0	2014	0	2098	0	0	3917	68	195	1606	704	355	271	894	350	17	265	0	173	180	412	0	26	189	648	99	3874	227	0	14	44	0	53	517	160	145	463	0	0	23	21	0	0	5359	3932	4020	1111	980	174	216	1040	479	192	97	426	277	215	305	415	216	139	17	2558	1150	1260	0	397	173	342	0	0	406	0	410	263	211	52	902	189	640	1188	362	18	802	106	1402	0	0	154	500	110	98	16	0	0	1247	0	915	356	462	835	116	0	0	355	158	7	302	275	1400	218	7	26	0	1051	13	5289	50	265	171	778	68	74	74	257	0	349	3492	144	686	1112	10	1698	302	186	12	75	2120	389	118	250	0	3159	0	1637	315	0	441	0	292
13C	6	4	1447	1	19	58	40	4	1504	47	34	47	13	5	14	10	17	35	8	27	24	144	56	8	31	26	16	56	4194	1	0	0	0	8	16	78	16	0	3590	44	16	67	122	16	5	25	18	2	5	14	34	2	97	691	36	3	64	32	15	11	3	130	13	128	11	2	37	155	230	26	20	7	198	73	172	8	4	57	39	0	48	160	2	783	60	12	32	64	48	72	15	8	20	223	94	191	31	16	2	74	1	209	1	9	52	382	31	42	78	17	20	13	104	652	60	525	26	52	7	77	102	3845	33	2	5	112	104	14	1	38	285	21	4	15	91	0	0	26	0	1	47	1	61	5	6	6	49	120	0	11	6	7	18	4	1	3	1	111	3	32	70	74	18	38	0	9	120	13	42	3	1	8	2	20	3	5	7	2	19	97	296	2	1196	20	1	10	2	2	7	7	17	0	1	41	3	7	145	100	3	10	0	121	51	129	17	10	0	6	1	134	40	93	119	12	0	0	93	0	9	0	1	184	8	8	2	66	5	0	38	2	4	39	77	7	7	15	3	15	2	5	86	1	5	113	0	104	37	5	4	3	173	11	6	228	26	55	61	57	28	59	53	8	228	3	14	6
13D	20	0	12262	44	372	338	508	21	8650	472	572	233	337	0	235	257	356	322	278	765	56	2220	807	8	63	87	135	357	13323	23	0	37	58	128	480	2041	0	67	14293	289	346	113	77	0	34	69	64	183	24	61	214	32	1069	6505	71	184	1035	678	666	46	9	107	0	2907	64	82	50	4368	671	128	70	204	2342	319	488	17	0	128	594	9	1129	984	22	4972	179	184	0	198	1468	770	0	475	1158	5774	1450	930	881	87	29	1246	44	706	61	0	1680	2141	295	0	492	393	77	559	102	810	39	5839	1120	650	45	239	1287	15714	766	0	103	322	98	0	14	210	3403	53	14	63	1067	29	0	727	21	70	115	78	1380	13	350	35	768	164	22	35	34	9	0	117	0	143	8	81	0	662	963	461	51	218	0	57	151	95	357	0	34	56	78	52	34	116	0	0	103	489	284	5	5523	66	0	27	0	63	101	40	202	27	23	90	43	60	202	0	57	97	36	127	2934	1564	0	0	56	46	16	2012	784	858	4389	0	29	0	929	31	0	49	35	1784	23	42	35	162	0	27	96	41	0	401	378	31	28	94	65	72	43	28	763	24	46	1142	39	159	270	0	215	30	795	28	55	4156	80	368	175	123	421	464	65	75	1796	47	317	28
17C	1	0	1	3	8	1	3	1	1	2	0	9	5	21	20	1	1	3	3	6	0	3	2	0	0	12	3	3	4	0	1	0	3	10	1	1	4	5	2	1	1	21	2	17	2	8	9	2	9	2	6	0	6	11	0	12	3	1	0	2	4	2	1	2	0	1	7	6	0	2	0	7	1	1	1	2	0	0	17	3	1	1	4	3	7	2	0	7	8	3	6	3	3	8	2	10	2	1	6	4	1	4	2	1	27	60	0	5	0	10	3	5	11	3	5	4	1	0	6	25	13	1	1	1	2	3	2	2	1	7	4	6	1	1	2	0	3	2	9	0	1	3	2	1	5	2	2	8	0	1	2	1	2	1	2	2	4	4	39	5	0	2	14	1	0	11	7	6	2	6	4	2	2	7	5	2	59	2	15	15	1	2	15	5	2	2	4	8	0	1	3	1	0	6	2	5	1	3	1	2	2	4	2	2	5	1	4	2	1	20	5	13	1	0	1	0	8	1	9	4	1	7	2	1	0	1	1	1	6	8	4	0	112	1	0	1	3	0	3	0	3	1	5	6	0	3	2	1	4	2	5	2	1	3	0	3	4	9	2	5	1	6	5	5	1	1
17D	0	0	0	0	0	0	0	0	0	0	0	0	0	699	282	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	0	0	0	64	71	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	2143	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18C	2	4	13	3	2	0	10	2	1	3	14	5	18	12	4	19	22	15	3	62	5	15	2	0	2	6	41	7	38	5	4	6	1	25	1	49	14	3	6	15	8	12	2	14	6	6	2	11	6	1	0	3	15	44	9	40	66	29	31	1	5	19	1	55	23	2	7	21	57	6	12	19	33	21	0	3	2	5	34	1	28	35	9	6	10	3	4	11	25	13	25	12	21	34	5	3	16	5	2	6	1	7	18	15	19	3	2	18	4	14	4	7	1	168	7	49	27	31	9	39	36	12	24	0	2	17	11	2	2	11	27	4	4	16	2	1	2	13	2	0	4	7	12	5	7	2	4	7	2	3	6	11	6	3	1	8	9	3	0	50	33	20	7	8	1	6	43	7	9	3	6	8	5	3	9	5	1	3	55	0	3	2	26	13	6	2	6	0	2	4	3	1	2	15	3	6	10	41	5	13	2	4	34	50	8	1	4	2	3	42	31	27	14	3	4	10	1	4	7	1	5	9	2	3	5	3	2	2	2	1	17	7	38	4	10	0	1	1	7	3	9	2	7	24	0	15	13	5	50	0	16	3	5	34	4	36	2	4	60	4	1	2	0	9	4	1
18D	25	366	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	465	267	29	0	0	0	0	0	0	0	0	0	59	0	440	21	0	247	126	0	0	222	49	0	0	0	0	387	0	0	0	0	0	0	303	0	0	0	0	0	0	0	56	0	0	0	0	124	17	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	27	0	621	0	103	0	0	0	0	0	0	13	0	0	0	0	0	0	0	54	0	0	0	0	105	0	79	0	0	0	0	46	0	99	0	0	30	0	0	0	0	544	55	0	0	289	0	0	0	312	0	0	0	0	0	0	46	0	145	0	0	31	0	108	0	0	0	0	0	0	0	0	1129	0	0	571	83	0	0	0	10	0	0	0	1046	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	715	0	99	0	0	226	0	0	0	0	0	0	289	0	0	0	0	133	0	0	0	0	0	0	0	0	0	439	0	0	129	0	0	87	213	0
20C	0	0	3	1	1	7	16	2	0	1	1	18	4	5	12	20	34	28	7	27	2	0	1	2	0	0	29	1	0	0	3	6	3	4	6	26	24	0	875	0	4	5	2	1	0	3	0	12	6	0	4	2	20	21	2	8	34	17	3	1	3	1	72	2	35	4	0	6	3	19	4	18	4	5	1	0	0	0	31	0	40	4	5	2	2	2	2	0	7	6	6	5	13	23	0	3	3	6	3	2	4	6	18	15	13	1	4	13	3	3	3	0	1	11	0	0	19	23	6	1	40	2	4	1	0	10	6	0	6	2	1	2	4	17	1	2	4	4	5	7	0	1	10	2	10	0	1	8	1	0	1	6	5	0	4	2	2	3	4	28	40	13	5	8	6	5	3	5	0	2	2	4	2	18	4	5	3	2	35	2	0	1	1	27	1	8	0	3	3	8	1	1	4	6	1	6	4	9	0	7	0	4	6	38	2	0	7	5	2	24	4	13	20	3	2	0	7	2	14	6	2	13	5	1	1	1	6	5	0	1	17	1	6	0	5	0	1	5	5	0	3	1	7	19	0	0	2	12	27	2	7	1	4	20	0	15	1	15	9	4	7	0	2	2	1	0
20D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26C	0	0	2	3	3	1	4	9	6	2	0	8	3	12	19	1	0	1	4	3	3	1	10	1	0	2	3	19	19	0	3	4	1	2	6	0	5	9	878	2	1	2	4	1	0	1	16	4	1	1	2	1	5	9	1	6	0	6	2	4	7	4	4	1	4	0	4	2	25	1	12	11	1	0	13	1	0	7	3	3	3	14	2	2	5	1	5	7	9	3	1	2	1	1	8	1	0	1	0	1	0	3	7	1	24	0	4	9	4	0	3	10	3	2	8	3	3	3	8	11	0	1	5	0	3	11	3	10	3	2	0	3	7	9	5	5	4	19	0	1	3	5	0	4	1	12	0	18	2	3	1	3	4	14	4	6	7	11	9	2	0	5	0	6	10	6	8	2	0	12	3	7	4	1	0	7	214	10	9	5	1	0	1	2	1	14	12	0	1	7	7	5	4	6	7	8	2	9	1	2	12	9	1	1	1	4	5	3	1	14	10	14	1	0	7	7	13	1	10	3	3	5	3	1	6	8	9	4	5	2	4	6	10	5	6	1	5	9	4	1	3	1	2	0	7	23	1	1	6	1	6	1	4	1	9	0	11	4	15	2	16	4	9	2	2	3
26D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6033	0	0	0	0	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30C	2	0	9	2	3	5	23	0	1	4	14	11	5	9	11	9	21	6	8	47	24	8	2	2	3	3	16	5	0	1	4	0	2	24	1	40	17	5	23	5	15	14	5	5	2	19	33	7	2	1	17	2	61	28	6	19	0	12	2	2	0	11	6	28	9	2	7	17	11	10	17	16	15	3	11	2	3	5	3	3	6	37	0	23	1	4	2	8	33	6	22	5	7	28	8	1	6	2	1	4	4	2	4	6	3	18	9	12	1	12	8	9	6	55	5	20	50	17	11	41	37	3	12	1	2	18	7	3	2	9	33	8	3	12	7	6	5	22	2	2	29	12	27	0	12	0	5	9	1	3	7	3	5	6	0	21	5	4	3	7	12	6	2	8	8	9	29	9	10	6	6	13	6	8	1	5	0	8	18	26	15	2	9	1	2	10	17	4	3	18	5	0	5	3	3	5	38	8	2	18	8	6	2	23	6	3	6	4	1	6	269	21	8	10	9	4	38	4	10	5	5	8	5	7	2	22	8	3	13	2	11	5	63	5	5	3	5	1	7	0	10	2	3	52	1	8	4	2	3	5	15	3	1	17	5	10	5	8	21	3	66	0	1	19	5	2
30D	2	1	0	0	0	0	0	19	0	24	0	0	0	0	0	85	0	337	0	0	127	28	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	30	0	0	0	137	0	0	379	0	117	284	67	0	0	0	109	108	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	89	0	40	269	0	0	0	0	0	131	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	748	62	0	0	0	0	0	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	170	91	2	81	77	3	0	113	0	0	0	0	236	0	39	0	675	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	244	0	0	0	43	0	120	85	97	28	0	0	61	0	0	0	0	0	30	0	0	0	0	0	158	0	0	9115	0	0	0	0	90	0	0	0	0	68	0	0	71	0	0	3	0	84	0	0	0	459	0	113	0	221	0	83	338	116	0	0	957	299	0	0	0	210	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	118
DrC	3	4	6	4	5	8	29	11	6	3	1	26	8	17	31	24	34	40	13	30	6	6	14	4	2	8	44	48	19	6	6	10	4	11	20	26	34	10	3486	21	22	12	7	6	0	4	26	20	7	3	6	4	25	30	7	18	34	30	11	8	10	5	78	7	39	4	4	16	34	23	16	29	5	7	15	3	1	9	34	7	43	22	7	4	10	4	14	11	24	9	7	10	15	24	13	8	7	7	3	4	5	9	30	16	52	12	9	26	32	3	14	12	5	14	9	4	22	32	15	12	40	3	9	2	5	21	23	10	11	6	2	5	11	28	9	9	9	24	6	8	9	8	17	7	15	13	4	26	3	5	9	11	9	17	10	17	13	15	15	40	47	28	20	18	16	19	18	12	0	14	7	15	9	27	7	14	217	12	50	7	1	2	2	33	7	22	22	3	4	15	9	9	9	22	9	21	10	20	1	9	12	13	10	41	9	5	12	8	4	46	39	33	24	9	11	7	20	3	26	10	7	22	8	2	11	11	19	9	9	5	25	16	37	6	12	2	11	14	10	4	7	4	10	19	7	30	3	14	34	4	18	2	13	32	9	16	14	31	26	7	30	5	12	6	4	3
DrD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25482	0	0	0	0	727	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
